house,year,season,homebase,parent,director,director_years,director_previous_houses,newyork,paris,london,milan,met,employees_num,google_search_sentiment,fashion_magazine_sentiment
Louis Vuitton,2019,fw,Paris,LVMH,Virgil Abloh,9,1,0,1,0,0,1,9862,0.089318,0.25
Louis Vuitton,2019,ss,Paris,LVMH,Virgil Abloh,9,1,0,1,0,0,1,9862,0.089318,0
Louis Vuitton,2018,fw,Paris,LVMH,Virgil Abloh,9,1,0,1,0,0,1,9752,0.089318,0.25
Louis Vuitton,2018,ss,Paris,LVMH,Kim Jones,8,1,0,1,0,0,1,9752,0.19125,0
Saint Laurent,2024,fw,Paris,Kering,Anthony Vaccarello,7,2,0,1,0,0,1,9336,0.089318,0.05
Saint Laurent,2024,ss,Paris,Kering,Anthony Vaccarello,7,2,0,1,0,0,1,9336,0.089318,-0.002272727273
Saint Laurent,2023,fw,Paris,Kering,Anthony Vaccarello,7,2,0,1,0,0,1,9201,0.089318,0.25
Saint Laurent,2023,ss,Paris,Kering,Anthony Vaccarello,7,2,0,1,0,0,1,9201,0.089318,0.5
Saint Laurent,2022,fw,Paris,Kering,Anthony Vaccarello,7,2,0,1,0,0,1,9293,0.089318,0.25
Saint Laurent,2022,ss,Paris,Kering,Anthony Vaccarello,7,2,0,1,0,0,1,9293,0.089318,0.5
Saint Laurent,2021,fw,Paris,Kering,Anthony Vaccarello,7,2,0,1,0,0,1,9234,0.089318,0
Saint Laurent,2021,ss,Paris,Kering,Anthony Vaccarello,7,2,0,1,0,0,1,9234,0.089318,0.1931818182
Saint Laurent,2020,fw,Paris,Kering,Anthony Vaccarello,7,2,0,1,0,0,1,9892,0.089318,0.6
Saint Laurent,2020,ss,Paris,Kering,Anthony Vaccarello,7,2,0,1,0,0,1,9892,0.089318,0.5477272727
Saint Laurent,2019,fw,Paris,Kering,Anthony Vaccarello,7,2,0,1,0,0,1,9862,0.089318,-0.2
Saint Laurent,2019,ss,Paris,Kering,Anthony Vaccarello,7,2,0,1,0,0,1,9862,0.089318,0.1931818182
Saint Laurent,2018,fw,Paris,Kering,Anthony Vaccarello,7,2,0,1,0,0,1,9752,0.089318,0.35
